DATE,GBMT10UKA,LTCYUKA
1929-01-01,4.76,4.57
1930-01-01,4.31,4.45
1931-01-01,4.85,4.4
1932-01-01,3.67,3.75
1933-01-01,3.45,3.38
1934-01-01,3.13,3.08
1935-01-01,2.74,2.9
1936-01-01,2.73,2.94
1937-01-01,3.1,3.3
1938-01-01,3,3.41
1939-01-01,3.46,3.73
1940-01-01,3.03,3.38
1941-01-01,2.72,3.12
1942-01-01,2.63,3.02
1943-01-01,2.73,3.1
1944-01-01,2.69,3.13
1945-01-01,2.64,2.89
1946-01-01,2.31,2.59
1947-01-01,2.41,2.77
1948-01-01,2.52,3.21
1949-01-01,2.5,3.3
1950-01-01,2.62,3.55
1951-01-01,3.24,3.75
1952-01-01,3.95,4.23
1953-01-01,3.5,4.08
1954-01-01,3.2,3.76
1955-01-01,4.14,4.18
1956-01-01,5.13,4.74
1957-01-01,5.28,5
1958-01-01,5.44,4.98
1959-01-01,5.13,4.83
1960-01-01,5.82,5.46
1961-01-01,6.26,6.27
1962-01-01,5.81,5.98
1963-01-01,5.08,5.59
1964-01-01,5.6,6.06
1965-01-01,6.55,6.43
1966-01-01,6.88,6.82
1967-01-01,6.7,6.73
1968-01-01,7.51,7.46
1969-01-01,8.83,8.94
1970-01-01,8.63,9.23
1971-01-01,8.06,9.04
1972-01-01,8.37,9.2
1973-01-01,10.56,10.91
1974-01-01,14.21,15.17
1975-01-01,13.18,14.6
1976-01-01,13.61,14.23
1977-01-01,12.02,12.19
1978-01-01,12.12,12.03
1979-01-01,12.93,11.35
1980-01-01,13.91,11.93
1981-01-01,14.88,13.01
1982-01-01,13.09,11.74
1983-01-01,11.27,10.25
1984-01-01,11.13,10.17
1985-01-01,10.97,10.09
1986-01-01,10.14,9.46
1987-01-01,9.57,9.32
1988-01-01,9.68,9.12
1989-01-01,10.19,9.26
1990-01-01,11.8,10.88
1991-01-01,10.11,9.99
1992-01-01,9.06,9.16
1993-01-01,7.47,7.69
1994-01-01,8.17,8.18
1995-01-01,8.24,8.24
1996-01-01,7.82,8.03
1997-01-01,7.05,7.13
1998-01-01,5.52,5.53
1999-01-01,5.08,4.85
2000-01-01,5.31,4.91
2001-01-01,4.94,5.05
2002-01-01,4.91,5.05
2003-01-01,4.52,4.88
2004-01-01,4.84,4.77
2005-01-01,4.37,4.44
2006-01-01,4.43,4.24
2007-01-01,4.92,4.63
2008-01-01,4.58,4.59
2009-01-01,3.74,4.54
2010-01-01,3.75,4.64
2011-01-01,3.23,4.36
2012-01-01,1.96,3.77
2013-01-01,2.46,4.22
2014-01-01,2.62,4.07
2015-01-01,1.9,2.69
2016-01-01,1.3,1.99
